run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,94b21e2,188019d3daf4,2026-02-18T20:25:01.043324+00:00,1,ortools_main,80,3,10,4,10,0.5,1.0,A,soft,76.25,56.59624122563923,8330.56630266299,0.5451219512195122,0.7466666666666667,1.06136338899978,20.01558108699919,21.07694447599897,30737162.54388863,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,94b21e2,188019d3daf4,2026-02-18T20:25:01.043324+00:00,1,pyvrp_baseline,80,3,10,4,10,0.5,1.0,A,soft,,,,,,1.06136338899978,20.029100802000357,21.090464191000137,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,scalability,94b21e2,188019d3daf4,2026-02-18T20:25:01.043324+00:00,1,ortools_main,80,3,10,4,10,1.0,1.0,A,soft,86.25,91.90177543840181,12016.518969778239,0.4891566265060241,0.8624999999999999,1.180681781000203,20.003464459000497,21.1841462400007,52708420.745216645,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,94b21e2,188019d3daf4,2026-02-18T20:25:01.043324+00:00,1,pyvrp_baseline,80,3,10,4,10,1.0,1.0,A,soft,,,,,,1.180681781000203,21.579516116999912,22.760197898000115,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,94b21e2,188019d3daf4,2026-02-18T20:25:01.043324+00:00,1,ortools_main,80,3,5,4,10,0.5,1.0,A,soft,,,,,,1.208161490000748,20.001901359999465,21.210062850000213,,,,0,scalability_only
scalability_seed1_N80_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,94b21e2,188019d3daf4,2026-02-18T20:25:01.043324+00:00,1,pyvrp_baseline,80,3,5,4,10,0.5,1.0,A,soft,,,,,,1.208161490000748,20.02796199199929,21.23612348200004,,,,0,scalability_only
