method,N,gap_pct_mean,gap_pct_std,best_bound_mean,best_bound_std,incumbent_obj_mean,incumbent_obj_std
highs_exact_bound,20,51.52285177521869,0.0,3534993.0,213538.40260430909,6889968.0,0.0
highs_exact_bound,40,,,,,,
ortools_main,20,14.403140836461825,3.0009559858889348,3534993.0,213538.40260430909,4126754.729529416,104789.25325305562
ortools_main,40,,,,,5717730.831995065,109504.31316110671
pyvrp_baseline,20,23.800536868108924,5.848044231076986,3534993.0,213538.40260430909,4644002.915980463,76175.00127824477
pyvrp_baseline,40,,,,,,
