run_id,uav_id,route_node_sequence,route_energy,route_risk_mean,route_tardiness_min,route_time_s
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_ortools_main,2,0->4->5->7->8->2->3->6->1->10->9->0,2977.2114123610972,0.018181818181818184,1.7050873875102488,883.6049793791692
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_pyvrp_baseline,0,0->9->0,282.3232371388114,0.0,0.0,74.11616185694056
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_pyvrp_baseline,1,0->4->5->7->8->2->3->6->1->10->0,2884.175803633369,0.02,0.0,783.0371013027121
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_pyvrp_baseline,0,0->9->0,282.3232371388114,0.0,0.0,74.11616185694056
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_pyvrp_baseline,1,0->4->5->7->8->2->3->6->1->10->0,2884.175803633369,0.02,0.0,783.0371013027121
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_pyvrp_baseline,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_pyvrp_baseline,1,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_pyvrp_baseline,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_pyvrp_baseline,1,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,2,0->4->5->7->8->9->2->3->6->1->10->0,3000.7951129511102,0.0,0.0,854.6990322344863
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,0,0->8->7->5->4->0,1831.004873779423,0.0,0.0,404.41238465951807
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,1,0->10->1->6->3->2->9->0,1396.7232143665233,0.0,0.0,485.5561595797117
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt0.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt0.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt0.0_twA_ortools_main,2,0->3->6->5->9->4->8->1->2->7->10->0,2739.656237617432,0.41818181818181815,3.933035971975456,827.5336519950487
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt0.0_twA_pyvrp_baseline,0,0->10->7->2->1->8->0,1967.8281383550948,0.5333333333333333,0.0,510.88297137526763
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt0.0_twA_pyvrp_baseline,1,0->3->6->5->9->4->0,1235.3212431503694,0.2833333333333334,0.0,397.05133647456415
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt1.0_twA_ortools_main,0,0->3->6->5->9->4->8->1->2->7->10->0,2739.656237617432,0.41818181818181815,3.933035971975456,827.5336519950487
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt1.0_twA_ortools_main,2,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt1.0_twA_pyvrp_baseline,0,0->10->7->2->1->8->0,1967.8281383550948,0.5333333333333333,0.0,510.88297137526763
main_table_seed1_N10_M3_D5_B4_K10_lo0.0_lt1.0_twA_pyvrp_baseline,1,0->3->6->5->9->4->0,1235.3212431503694,0.2833333333333334,0.0,397.05133647456415
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt0.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt0.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt0.0_twA_ortools_main,2,0->3->9->5->6->4->8->1->2->7->10->0,2820.647764625997,0.38181818181818183,4.337993607018276,835.6328046959051
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt0.0_twA_pyvrp_baseline,0,0->7->2->1->8->4->10->0,2270.3419093776647,0.5285714285714286,0.0,540.6022191710719
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt0.0_twA_pyvrp_baseline,1,0->6->5->9->3->0,1099.0350937796093,0.04,0.0,321.23797584766805
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt1.0_twA_ortools_main,2,0->3->9->5->6->4->8->1->2->7->10->0,2820.647764625997,0.38181818181818183,4.337993607018276,835.6328046959051
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,0,0->7->2->1->8->4->10->0,2270.3419093776647,0.5285714285714286,0.0,540.6022191710719
main_table_seed1_N10_M3_D5_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,1,0->6->5->9->3->0,1099.0350937796093,0.04,0.0,321.23797584766805
main_table_seed1_N10_M3_D5_B4_K10_lo1.0_lt0.0_twA_ortools_main,0,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo1.0_lt0.0_twA_ortools_main,1,0->0,0.0,0.0,0.0,0.0
main_table_seed1_N10_M3_D5_B4_K10_lo1.0_lt0.0_twA_ortools_main,2,0->3->9->5->6->4->8->1->2->10->7->0,3047.031658969575,0.35454545454545455,5.864675866787665,881.4332724889867
main_table_seed1_N10_M3_D5_B4_K10_lo1.0_lt0.0_twA_pyvrp_baseline,0,0->2->1->8->4->10->7->0,2447.522410006727,0.5,0.0,581.4823475927019
main_table_seed1_N10_M3_D5_B4_K10_lo1.0_lt0.0_twA_pyvrp_baseline,1,0->3->9->5->6->0,1099.0350937796093,0.04,0.0,304.89873344148486
