run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_ortools_main,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,ortools_main,10,3,10,4,10,0.0,0.0,A,soft,90.0,1.7050873875102488,2977.2114123610972,0.018181818181818184,0.018181818181818184,0.017906901000060316,20.025820128000305,20.043727029000365,2977211.412361097,3166499.0,-6.357881971464942,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_pyvrp_baseline,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,pyvrp_baseline,10,3,10,4,10,0.0,0.0,A,soft,100.0,0.0,3166.4990407721803,0.016666666666666666,0.02,0.017906901000060316,20.009590523000043,20.027497424000103,3166499.04077218,3166499.0,1.2876106876388177e-06,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt0.0_twA_highs_exact_bound,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,highs_exact_bound,10,3,10,4,10,0.0,0.0,A,soft,,,,,,0.017906901000060316,14.153284094000355,14.171190995000416,3166499.0,3166499.0,0.0,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_ortools_main,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,ortools_main,10,3,10,4,10,0.0,1.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.018096800000421354,20.00366815899997,20.021764959000393,3000795.11295111,3166499.0,-5.5219993638929115,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_pyvrp_baseline,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,pyvrp_baseline,10,3,10,4,10,0.0,1.0,A,soft,100.0,0.0,3166.4990407721803,0.016666666666666666,0.02,0.018096800000421354,20.012134527999933,20.030231328000355,3166499.04077218,3166499.0,1.2876106876388177e-06,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.0_lt1.0_twA_highs_exact_bound,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,highs_exact_bound,10,3,10,4,10,0.0,1.0,A,soft,,,,,,0.018096800000421354,14.520713722999972,14.538810523000393,3166499.0,3166499.0,0.0,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_ortools_main,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,ortools_main,10,3,10,4,10,0.5,0.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.018921600000339822,20.00240495600019,20.02132655600053,3000795.11295111,2879128.0,4.054495837653424,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_pyvrp_baseline,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,pyvrp_baseline,10,3,10,4,10,0.5,0.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.018921600000339822,20.0098055200001,20.02872712000044,3227728.0881459457,2879128.0,10.800168992741476,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt0.0_twA_highs_exact_bound,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,highs_exact_bound,10,3,10,4,10,0.5,0.0,A,soft,,,,,,0.018921600000339822,20.017239720999896,20.036161321000236,3227728.0,2879128.0,10.800166556785454,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,ortools_main,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.022939100000257895,20.00097745500034,20.023916555000596,3000795.11295111,2851345.0,4.980350451322033,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,pyvrp_baseline,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.022939100000257895,20.014026893999926,20.036965994000184,3227728.0881459457,2851345.0,11.660929231561932,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,highs_exact_bound,10,3,10,4,10,0.5,1.0,A,soft,,,,,,0.022939100000257895,20.027279327000088,20.050218427000345,3227728.0,2851345.0,11.66092681911239,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_ortools_main,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,ortools_main,10,3,10,4,10,1.0,0.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.01886689999992086,20.003878778999933,20.022745678999854,3000795.11295111,2784267.0,7.215691335159738,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_pyvrp_baseline,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,pyvrp_baseline,10,3,10,4,10,1.0,0.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.01886689999992086,20.011046443000396,20.029913343000317,3227728.0881459457,2784267.0,13.739109244505048,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt0.0_twA_highs_exact_bound,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,highs_exact_bound,10,3,10,4,10,1.0,0.0,A,soft,,,,,,0.01886689999992086,20.031953265000084,20.050820165000005,3227727.9999999995,2784267.0,13.739106888808461,1,exact
main_table_seed1_N10_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,main_table,unknown,188019d3daf4,2026-02-17T15:15:05.564674+00:00,1,ortools_main,10,3,10,4,10,1.0,1.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.03157409999994343,20.00251312299997,20.034087222999915,3000795.11295111,2784267.0,7.215691335159738,1,exact
