method,N,gap_pct_mean,gap_pct_std,best_bound_mean,best_bound_std,incumbent_obj_mean,incumbent_obj_std
highs_exact_bound,20,,,6002637.46393425,1021850.3139302928,,
highs_exact_bound,40,,,,,,
ortools_main,20,7.736129645524928,1.0520941190811082,6002637.46393425,1021850.3139302928,6500855.328776088,1066475.3040485994
ortools_main,40,,,,,9247519.045604514,2864942.372966131
pyvrp_baseline,20,15.228338935163,3.2843028165441366,6002637.46393425,1021850.3139302928,7057525.498379126,965173.6948466616
pyvrp_baseline,40,,,,,,
