run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,ortools_main,80,3,10,4,10,0.5,1.0,A,soft,88.75,53.91856933706113,8517.444848185965,0.5451219512195122,0.6641025641025641,2.6297493019992544,20.021655092999936,22.65140439499919,30921363.417523023,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,pyvrp_baseline,80,3,10,4,10,0.5,1.0,A,soft,,,,,,2.6297493019992544,15.031531635999272,17.661280937998526,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,ortools_main,80,3,10,4,10,1.0,1.0,A,soft,86.25,91.9017754384018,12016.51896977824,0.4891566265060241,0.8624999999999999,1.941757808001057,20.004627784999684,21.94638559300074,52708420.745216645,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,pyvrp_baseline,80,3,10,4,10,1.0,1.0,A,soft,,,,,,1.941757808001057,15.052944295999623,16.99470210400068,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,ortools_main,80,3,10,7,10,0.5,1.0,A,soft,86.25,34.01594081884647,9920.219048461222,0.1385542168674698,0.1942857142857142,1.7283813809990534,20.0081190639994,21.736500444998452,15704234.98928007,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twA_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,pyvrp_baseline,80,3,10,7,10,0.5,1.0,A,soft,,,,,,1.7283813809990534,15.101816479000265,16.830197859999316,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo1.0_lt1.0_twA_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,ortools_main,80,3,10,7,10,1.0,1.0,A,soft,67.5,217.8220557911888,12764.3095703351,0.0855421686746987,0.125,1.7436846809996496,20.00417484600075,21.7478595270004,20082131.62612629,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo1.0_lt1.0_twA_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:12:02.768704+00:00,1,pyvrp_baseline,80,3,10,7,10,1.0,1.0,A,soft,,,,,,1.7436846809996496,15.064387455000542,16.80807213600019,,,,0,scalability_only
