method,N,on_time_pct_mean,on_time_pct_std,total_tardiness_min_mean,total_tardiness_min_std,total_energy_mean,total_energy_std,risk_mean_mean,risk_mean_std,runtime_total_s_mean,runtime_total_s_std
highs_exact_bound,10,100.0,,0.0,,3227.728088145945,,0.0,,15.073668702999385,
ortools_main,10,100.0,,0.0,,3000.7951129511102,,0.0,,15.049708057999853,
ortools_main,20,60.0,,25.3616082032965,,4012.90043660414,,0.1285714285714286,,15.141366599999856,
ortools_main,40,70.0,,28.269623861155864,,6023.577590128702,,0.1738095238095238,,15.560009310999703,
pyvrp_baseline,10,100.0,,0.0,,3227.728088145945,,0.0,,15.047383559000082,
pyvrp_baseline,20,100.0,,0.0,,5178.102826727559,,0.0826086956521739,,15.155909029999748,
