run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,main_table,nogit-ed43227fb6bc,188019d3daf4,2026-02-17T18:00:29.125890+00:00,1,ortools_main,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3000.7951129511102,0.0,0.0,0.017401101998984814,5.004718158999822,5.022119260998807,3000795.11295111,2604582.000000005,13.203604312773361,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,main_table,nogit-ed43227fb6bc,188019d3daf4,2026-02-17T18:00:29.125890+00:00,1,pyvrp_baseline,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3227.7280881459455,0.0,0.0,0.017401101998984814,5.003269684999395,5.02067078699838,3227728.0881459457,2604582.000000005,19.30602799022903,1,bound_gap
main_table_seed1_N10_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,main_table,nogit-ed43227fb6bc,188019d3daf4,2026-02-17T18:00:29.125890+00:00,1,highs_exact_bound,10,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,3250.7996939395066,0.0,0.0,0.017401101998984814,5.018800808000378,5.036201909999363,3250799.6939395065,2604582.000000005,19.878729998167852,1,bound_gap
main_table_seed1_N20_M3_D10_B4_K10_lo0.5_lt1.0_twA_ortools_main,main_table,nogit-ed43227fb6bc,188019d3daf4,2026-02-17T18:00:29.125890+00:00,1,ortools_main,20,3,10,4,10,0.5,1.0,A,soft,60.0,25.3616082032965,4012.9004366041395,0.1285714285714286,0.1285714285714286,0.06992520700077876,5.001810813000702,5.071736020001481,5388262.044807436,4895684.943456291,9.141669377899536,1,bound_gap
main_table_seed1_N20_M3_D10_B4_K10_lo0.5_lt1.0_twA_pyvrp_baseline,main_table,nogit-ed43227fb6bc,188019d3daf4,2026-02-17T18:00:29.125890+00:00,1,pyvrp_baseline,20,3,10,4,10,0.5,1.0,A,soft,100.0,0.0,5178.102826727559,0.08260869565217394,0.2428571428571429,0.06992520700077876,5.007017197000096,5.076942404000874,6128102.826727559,4895684.943456291,20.110920428686505,1,bound_gap
main_table_seed1_N20_M3_D10_B4_K10_lo0.5_lt1.0_twA_highs_exact_bound,main_table,nogit-ed43227fb6bc,188019d3daf4,2026-02-17T18:00:29.125890+00:00,1,highs_exact_bound,20,3,10,4,10,0.5,1.0,A,soft,,,,,,0.06992520700077876,5.2820748730009655,5.352000080001744,,4895684.943456291,,0,bound_gap
