run_id,profile,git_sha,env_hash,timestamp,seed,method,N,M,Delta_min,B,K,lambda_out,lambda_tw,tw_family,tw_mode,on_time_pct,total_tardiness_min,total_energy,risk_mean,risk_max_route,runtime_edge_s,runtime_solve_s,runtime_total_s,incumbent_obj,best_bound,gap_pct,feasible_flag,claim_regime
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twB_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,ortools_main,80,3,10,4,10,0.5,1.0,B,soft,81.25,100.79747221351386,8601.513740217502,0.5301204819277109,0.8342857142857144,1.1135359959989728,21.56744080899989,22.680976804998863,30702311.21243102,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo0.5_lt1.0_twB_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,pyvrp_baseline,80,3,10,4,10,0.5,1.0,B,soft,,,,,,1.1135359959989728,15.212892100998944,16.326428096997915,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twB_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,ortools_main,80,3,10,4,10,1.0,1.0,B,soft,68.75,130.52851641319998,11318.083473872157,0.4927710843373494,0.5677419354838709,1.2740054999994754,20.003221058001145,21.27722655800062,52348611.99028535,,,1,scalability_only
scalability_seed1_N80_M3_D10_B4_K10_lo1.0_lt1.0_twB_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,pyvrp_baseline,80,3,10,4,10,1.0,1.0,B,soft,,,,,,1.2740054999994754,15.091739483999843,16.36574498399932,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twB_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,ortools_main,80,3,10,7,10,0.5,1.0,B,soft,78.75,55.32116370127023,9454.596600732306,0.1397590361445783,0.1894736842105263,1.284469621001335,20.001689236998573,21.286158857999908,15309917.764433578,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo0.5_lt1.0_twB_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,pyvrp_baseline,80,3,10,7,10,0.5,1.0,B,soft,,,,,,1.284469621001335,15.021062427998912,16.30553204900025,,,,0,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo1.0_lt1.0_twB_ortools_main,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,ortools_main,80,3,10,7,10,1.0,1.0,B,soft,67.5,121.09882342720904,12405.836101378927,0.089156626506024,0.112,1.4271077119992697,20.00385239299976,21.43096010499903,19926934.924806137,,,1,scalability_only
scalability_seed1_N80_M3_D10_B7_K10_lo1.0_lt1.0_twB_pyvrp_baseline,scalability,981d620,188019d3daf4,2026-02-18T22:22:56.406596+00:00,1,pyvrp_baseline,80,3,10,7,10,1.0,1.0,B,soft,,,,,,1.4271077119992697,15.043405397998868,16.470513109998137,,,,0,scalability_only
