method,N,on_time_pct_mean,on_time_pct_std,total_tardiness_min_mean,total_tardiness_min_std,total_energy_mean,total_energy_std,risk_mean_mean,risk_mean_std,runtime_total_s_mean,runtime_total_s_std
highs_exact_bound,10,80.0,,1.825359316051258,,3227.728088145946,,0.0,,15.06513590600025,
highs_exact_bound,20,80.0,,5.274249239128113,,5716.686390460835,,0.108695652173913,,15.184115711999766,
ortools_main,10,60.0,,5.945305766933964,,3000.7951129511102,,0.0,,15.033747639000469,
ortools_main,20,20.0,,56.823745625194064,,4330.860230096382,,0.1,,15.105532909999964,
ortools_main,40,75.0,,37.47171587672697,,5987.8255337287965,,0.1738095238095238,,15.366119921000063,
pyvrp_baseline,10,100.0,,0.0,,3227.728088145946,,0.0,,15.034241662000568,
pyvrp_baseline,20,100.0,,0.0,,5254.339906279199,,0.0869565217391304,,15.112032818000444,
